,,,accuracy,accuracy,accuracy,f1,f1,f1
,,,mean,std,max,mean,std,max
learning_rate,optimizer,unfreeze_layers,,,,,,
0.0001,Adam,all,0.9247524752475248,,0.9247524752475248,0.9249589029973186,,0.9249589029973186
0.0001,Adam,last_block,0.9217821782178218,0.012601903031047393,0.9306930693069307,0.9215231270338433,0.011505984484273582,0.9296590866869004
0.0001,Adam,none,0.7920792079207921,,0.7920792079207921,0.7890948352009305,,0.7890948352009305
0.0001,SGD,all,0.7841584158415842,,0.7841584158415842,0.7688837851408615,,0.7688837851408615
0.0001,SGD,last_block,0.7514851485148515,0.09661458990469653,0.8198019801980198,0.7321098217379354,0.09864899846273237,0.8018651975081947
0.0005,Adam,all,0.9584158415841584,,0.9584158415841584,0.9584619760630919,,0.9584619760630919
0.0005,Adam,none,0.8673267326732674,0.0077960474000117,0.8752475247524752,0.8654544633478327,0.008389623485978244,0.8747794821017109
0.0005,SGD,all,0.906930693069307,0.030804651853671403,0.9287128712871288,0.9044615044272224,0.03292240913442809,0.9277411631791744
0.0005,SGD,last_block,0.8811881188118812,,0.8811881188118812,0.8793862069267183,,0.8793862069267183
0.0005,SGD,none,0.7920792079207921,,0.7920792079207921,0.7788794359899845,,0.7788794359899845
0.001,Adam,all,0.9277227722772277,0.018202748822623974,0.9405940594059405,0.9277659290603957,0.018084126793310597,0.9405533377477829
0.001,Adam,none,0.8495049504950495,,0.8495049504950495,0.848722044051013,,0.848722044051013
0.001,SGD,all,0.9174917491749176,0.015381095970602067,0.9346534653465347,0.9168622088383946,0.015487764767227016,0.9341717570050778
0.001,SGD,last_block,0.9138613861386139,0.0014002114478941547,0.9148514851485149,0.914191516330924,0.000638070838020871,0.914642700547366
